Time,Flowrate,S_O2,S_I,S_S,S_NH4,S_N2,S_NOX,S_ALK,X_I,X_S,X_H,X_STO,X_A,X_SS
0.0,1000.0,2.0,16.8,28.0,25.0,15.0,30.0,6.0,56.0,154.0,25.2,20.0,15.0,400.0
3.5,822.8745190126017,2.0,16.469932014567362,32.867630453711634,24.170265006351862,13.725935997757377,26.594060814819812,6.637255172773885,67.59597262925695,187.19256402669052,25.662169818977922,22.5711672988499,14.500508474046852,405.567107465251
7.0,878.8511487880508,2.0,20.983957161470787,32.69542456382643,22.634661491665266,17.70849342676191,20.855755056340936,9.968695382504235,64.20711908994733,189.02474590429625,30.442175692598152,29.496011562474397,12.920983070618105,407.5176110344777
10.5,928.0740862866968,2.0,25.24820831382315,33.35400738880023,21.990692647298772,11.351646960859554,21.369249883695506,10.78232797996388,69.8231016143257,210.2136109307851,37.22003774364223,28.030152861554082,9.935181151675275,397.8182664490842
14.0,941.9686552041895,2.0,19.169274176962023,34.2737869578348,19.314859946466477,10.624643536744104,25.277328403338316,10.133708701189283,72.0866243574297,171.07586210706828,34.14167919630955,28.617764895253693,12.045463738643882,363.8387947963923
17.5,977.6447107814536,2.0,12.758017089284499,32.86056901264164,23.76097031993118,12.36217806075719,31.467377356016378,11.583372191963797,72.67858954782942,167.58725109745518,33.85481485830477,25.3195503824523,13.754001834632067,317.9700058372558
21.0,1086.967453320535,2.0,6.6803214588307425,33.68500386973724,22.36052363271215,11.661782871859819,30.091013685152216,14.551635329668965,69.00822283499866,171.58769277873148,35.125018340686,27.0648142971565,11.674429222284513,303.1514609522507
24.5,1168.866747461863,2.0,6.891927673470745,26.507451244285654,16.07107573510879,11.999120291588879,28.537888502854567,13.040706421902913,74.99497164855528,151.63534529203952,44.0817040829444,28.259397390553477,6.910876230135179,286.1306254338228
28.0,1020.8495305465938,2.0,10.408781284750361,26.21974385377302,20.1818320299543,16.90760335365631,28.3412076387726,17.057954277318977,75.40985351126713,150.73636681711602,46.09550956874725,27.985593628572236,8.3776998342194,300.185439296731
31.5,957.2420509515591,2.0,11.835365899828197,33.57468057122503,26.15393290234399,19.289043788259992,23.64438721979679,17.1077167426365,76.0979010165171,71.21911171089728,46.839131917012,24.384911915397712,9.153363077361904,296.51134376918566
35.0,1002.4638576559067,2.0,9.760626297219378,30.03333265782272,28.348559600978245,18.202012151901904,23.29932506913917,18.24730842269718,73.10935516182332,120.97610341826537,41.77492213209705,28.229879132704166,9.988092041676774,283.483898420366
38.5,1197.2410450834327,2.0,5.351058323447059,30.77401943767857,27.586246686036954,14.163425991999434,23.850424081498073,20.261543480541317,76.39320481603399,105.29315631807673,42.715615462428445,23.038553364572333,10.50471703554587,322.28416441131833
42.0,1068.2517462267288,2.0,6.825705393969823,34.10367401419135,28.02311653149734,8.199344404282947,17.019976985844405,18.606795939580753,82.30054507148535,59.20622302698053,48.380453779951914,21.173077135437566,8.102486292251534,310.00250653991316
45.5,1241.4251578032065,2.0,8.403066109676029,31.8778180932546,30.269190286844047,2.8723679484882676,4.740260556223826,21.49697393950188,82.8760316239085,23.33083691006184,50.33362465951949,23.064473183121112,6.99294092955088,301.77915238795373
49.0,1275.1875651796706,2.0,12.258573791654456,23.76108454580566,21.671138955002977,6.501900236987834,2.9204559368412775,21.67285777252159,77.00196972466802,68.85720449909766,46.281549970144695,22.44592589719779,2.468493685156228,319.15189586665707
52.5,1346.854812817863,2.0,7.721503380186617,28.145156171130715,25.348036962805164,4.6530027220207195,6.702060814023337,19.560664094646523,68.21363432984018,5.8477709685241175,51.01610039512573,17.937620279627048,7.686481279789852,320.12000191706824
